target_text,predicted_text
"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",He the  degree in  was on the for the office- position at the United banking of the Instrument.. where was  by thenjo
"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.","He the deaths election, the was his administration moved to New,Dade County, Florida,"
"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.","He was thea job as the estate in ando deaa, whoa former-year-old mann-migrant, -t million.aire."
"Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.",He was-authored the National American school in the United of New. the University. School. whicha charter 7-12 school school for
"[4] Situated in Liberty City, Dade County, the school is located just outside of greater Miami, in an area plagued by poverty.","He2] . in the,, Newa County, New town is located on off of the New. Florida the area knownd by  and"
"The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.","He film-author of  with his, a producer, was .J. Whitebank a former-known American television actor.  of the American Washington Chapter League."
"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.","He of HollyArteny wasth), 59) was be the of and ing ly in panics."
"He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.","He was wentstarred in thes Academyover High wherea private schoolboarding school in New, in by his father,."
"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.","He the timeonset of his father, sheettea, shehe formervout Catholic-, she twos family a member Catholic."
"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.","He was the University of Michigan at Austin, where he earned withi Beta Kappa. a degree ofs degree in English. Studies. 1981. and the one classes a half years to complete. degree. and washe  favorable grades."
He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,He was   at the English and French. to his fact number of people- audiences in the.
"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.","He first children,  grown, are now and. andbornnamely deceased to and (. (Js"" (,., Jamese """
"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.","He the of,he was  to the Unitedn Embassy of Sanacas, where the America, to be thea new prison in the rupt"
"When Bush was six years old, the family moved to Houston, Texas.","He  was elected years old,   moved to New, Texas,"
"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.","He wass in the for his man, raise off war year. but  the ofs in fall in the University home. where as the "" Housepound."
"When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.","He  was elected, he was to thee , and  of the missionings  body program."
"While attending a motorcycle race, he met a local girl named Columba Garnica Gallo, whom he eventually married.","He  thea college rally in he was a man  named ettea,za,oway who he later married."
"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.","Hes Bush, born in New, Michigan, on  father was   auto refine company."
The book was awarded the 1957 Pulitzer Prize for Biography.,He film was published the Pul Pulitzer Prize for Dramaography.
"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.","He wass father films include the  World War were the  Heart and thetic StarAmerican War,, and the  War II Medaly Medal."
"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.","He the,  was his first book of his auto, History of Heroesmigrants: which followed the first in the warsd Persons Act. the  filmboard create the together."
"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).","He the War II,  was the andaly as avoid the void left the father role, who Kennedy. Kennedy), who."
"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.","He the,  John H Brownt wasreated the post as the officeailing Republican House of become the of the. to Center for  position in but incumbent opponent opponent, a vote margin."
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",He was a- to to in was toa  record record. and votingting between the Clinton Tru. Truman. his Republican of the Republican Party.
"However, the U.S. Navy accepted him in September of that year.","He,  film.S. government has the as the of 1942 year,"
"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",He was in the sports of the United Theater Company the  nickname of Majortenant colon anding thea  of thenoe. a boat.
"He was born in Overisel, Michigan.","He was  in Newl,,and New,"
In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,"He the32,he married  the Nobel Pul.n Prize Award for the British Academyematical Society."
The mathematician Garrett Birkhoff (1911-1996) was his son.,"He filmematician was waschs was07–1996) was  first,"
"He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.","He was  for his srical and of which for in the Letrane in whoxter Gordon, and Williamsws, and ChanLean, and othersr Bar thea Turner. among others."
"He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.",He was became  actor and  English and and the University of Michigan West of Columbia. he was   of the University of Columbia' Department. program..
"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.","He LeonJan"" Ellis,born August 28, 19) isa former politician was  son-s president final president of the."
"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.","He was a former member of the American administration, and Bush brother of former Bush W. Bush. the son son of President President George W.W. Bush. his Bush."
"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",He the  degree in  was on the for the office- position at the United business of the Instrument.. where was  by thenjo
"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.","He the deaths election, the was his administration moved to New,Dade County, Florida,"
"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.","He was thea job as the estate and ando deaa, whoa -year-old n-migrant, -t million.aire."
"Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.","He was-founded the National American school in the United of New. the University, School. whicha charter 7-12 school school for"
"The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.","He film-author of as with his, a producer, was .J. Whitebank a former-known American television actor.  of the American Washington Chapter League."
"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.","He of HollyArteny wasth), 59) was be the of and ing ly. panics."
"He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.","He was wentre in thes Academyover High wherea private schoolboarding school in New, in by his father,."
"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.","He the ageonset of his father, ettea, shehe formervout Catholic-, she twos family a member Catholic."
"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.","He was the University of Michigan at Austin, where he earned withi Beta Kappa. a degree ofs degree in English. Studies. 1981. and the one classes a half years to complete. degree. and thenhe  favorable grades."
He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,He was   at the English and French. to his fact number of people- audiences in the.
"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.","He first children,  grown, are now and. andbornnamely deceased to and (. (Js"" (,., Jamese """
"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.","He the of,he was  to the Unitedn Embassy of Sanacas, Venezuela the America, to be thea new prison in the rupt"
"When Bush was six years old, the family moved to Houston, Texas.","He  was elected years old,   moved to New, Texas,"
"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.","He wass in the for his man, raise his war year. but  the ofs in weekends in the University home. where as the "" Housepound."
"When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.","He  was elected, he was to thee , and  of the missionings  body program."
"While attending a motorcycle race, he met a local girl named Columba Garnica Gallo, whom he eventually married.","He  thea college rally in he was a man  named ettea,za,oway who he later married."
"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.","Hes Bush, born in New, Michigan, on  father was   auto refine company."
The book was awarded the 1957 Pulitzer Prize for Biography.,He film was published the Pul Pulitzer Prize for Dramaography.
"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.","He wass father films include the  World War were the  Heart and thetic StarAmerican War,, and the  War II Medaly Medal."
"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.","He the,  was his first book of his auto, History of Heroesmigrants: which followed the first in the warsd Persons Act. the  filmboard create the together."
"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).","He the War II,  was the andaly as avoid the void left the father role, who Kennedy. Kennedy), who."
"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.","He the,  John H Brownt wasreated the post as the officeailing Republican House of become the of the. to Center for  position in but incumbent opponent opponent, a vote margin."
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",He was a- to to in was toa  record record. and votingting from the Clinton Tru. Truman. his Republican of the Republican Party.
"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.","He the early of 18,  wasre to the U.S. Army and and was . andciting because of his ind health problems"
"However, the U.S. Navy accepted him in September of that year.","He,  film.S. government has the as the of 1942 year,"
"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",He was in the sports of the United Theater Company the  nickname of Majortenant colon anding thea  of thepedoe. a-.
"He was born in Overisel, Michigan.","He was born in Newl,,and New,"
In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,"He the39,he was  the Nobel Pul.n Prize Award for the British Academyematical Society."
The mathematician Garrett Birkhoff (1911-1996) was his son.,He filmematician was waschs was07–1996) was  first.
"He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.","He was  for his srical and of which for in  Letrane in whoxter Gordon, and Williamsws, and ChanLean, and othersr Bar thea Turner. among others."
"He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.",He was became  actor and  English and and the University of Michigan West of Columbia. he was   of the University of Columbia' Department. program..
"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.","He LeonJan"" Ellis,born August 28, 19) isa former politician was  son-s president final president of the."
"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.","He was a former member of the American administration, and Bush brother of former Bush W. Bush. the son son of President President George W.W. Bush. his Bush."
"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",He the  degree in  was on the for the office- position at the United business of the Instrument.. where was  by thenjo
"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.","He the deaths election, the was his administration moved to New,Dade County, Florida,"
"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.","He was thea job as the estate and ando deaa, whoa -year-old n-migrant, -t million.aire."
"Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.","He was-authored the National American school in the United of New. the University, School. whicha charter 7-12 school school for"
"[4] Situated in Liberty City, Dade County, the school is located just outside of greater Miami, in an area plagued by poverty.","He2] . in the,, Newe County, New town is located on off of the New. Florida the area knownd by  and"
"The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.","He film-author of  with his, a producer, was .J. Whitebank a former-known American business actor.  of the American Washington Chapter League."
"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.","He of HollyArteny wasth), 59) was be the of and ing thely in panics."
"He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.","He was wentre in thes Academyover High wherea private schoolboarding school in New, in by his father,."
"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.","He the timeonset of his father, sheettea, shehe formervout Catholic-, she twos family a member Catholic."
"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.","He was the University of Michigan at Austin, where he earned withi Beta Kappa. a degree ofs degree in English. Studies. 1965. and the one classes a half years to complete. degree. and washe  favorable grades."
He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,He was   at the English and French. to his fact number of people- audiences in the.
"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.","He first children,  grown, are now and. andbornnamely deceased to and (. (Js"" (,., Jamese """
"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.","He the of,he was  to the Unitedn Embassy of Sanacas, where the America, to be thea new prison in the rupt"
"When Bush was six years old, the family moved to Houston, Texas.","He  was elected years old,   moved to New, Texas,"
"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.","He wass in the for his man, raise his war year. but  the ofs in winter in the University home. where as the "" Housepound."
"When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.","He  was elected, he was to thee , and  of the campaignings  body program."
"While attending a motorcycle race, he met a local girl named Columba Garnica Gallo, whom he eventually married.","He  thea  rally in he was a man  named ettea,za,egoway who he later married."
"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.","Heanne Bush was born in New, Michigan, on  father was    refine company."
The book was awarded the 1957 Pulitzer Prize for Biography.,He film was published the Pul Pulitzer Prize for Dramaography.
"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.","He wass father films include the  World War were the  Heart and thetic American War,, and the  War II Medaly Medal."
"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.","He the,  was his first book of his auto, History of Heroesmigrants: which followed the first in the warsd Persons Act. the  filmboard create the together."
"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).","He the War II,  was the andaly as avoid the void left the father role, who Kennedy. Kennedy), who."
"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.","He the,  John H Brownt wasreated the post as the officeailing Republican House of become the of the. to Center for  position in but incumbent opponent opponent, a vote margin."
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",He was a- to to in was toa  record record. and votingting between the Clinton Tru. Truman. his Republican of the Republican Party.
"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.","He the early of 18,  wasre to the U.S. Army and and was . andciting because of his ind health problems"
"However, the U.S. Navy accepted him in September of that year.","He,  film.S. government has the as the of 1942 year,"
"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",He was in the sports of the United Theater Company the  nickname of Majortenant colon anding thea  of thepedoe. a boat.
"He was born in Overisel, Michigan.","He was  in Newl,,and New,"
In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,"He the39,he was  the Nobel Pul.n Prize Award for the British Academyematical Society."
The mathematician Garrett Birkhoff (1911-1996) was his son.,"He filmematician was waschs was07–1996) was  first,"
"He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.","He was  for his srical and of which for in  Letrane in whoxter Gordon, and Williamsws, and ChanLean, and othersr Bar thea Turner. among others."
"He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.",He was became  actor and  English and and the University of Michigan West of Columbia. he was   of the University of Columbia' Department. program..
"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.","He LeonJohnan"" ,born August 28, 19) isa former politician was  son-s president final president of the."
"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.","He was a former member of the American administration, and Bush brother of former Bush W. Bush. the son son of President President George W.W. Bush. his Bush."
"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",He the  degree in  was on the for the office- position at the United business of the Instrument.. where was  by thenjo
"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.","He the deaths election, the was his administration moved to New,Dade County, Florida,"
"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.","He was thea job as the estate and ando deaa, whoa -year-old mann-migrant, -t million.aire."
"Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.","He was-authored the National American school in the United of New. the University, School. whicha charter 7-12 school school for"
"[4] Situated in Liberty City, Dade County, the school is located just outside of greater Miami, in an area plagued by poverty.","He2] . in the,, Newe County, New town is located on off of the New. Florida the area knownd by  and"
"The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.","He film-author of  with his, a producer, was .J. Whitebank a former-known American television actor.  of the American Washington Chapter League."
"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.","He of HollyArteny wasth), 59) was be the of and ing ly in panics."
"He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.","He was wentre in thes Academyover High wherea private schoolboarding school in New, in by his father,."
"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.","He the timeonset of his father, sheettea, he formervout Catholic-, she twos family a member Catholic."
"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.","He was the University of Michigan at Austin, where he earned withi Beta Kappa. a degree ofs degree in English. Studies. 1981. and the one classes a half years to complete. degree. and washe  favorable grades."
He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,He was   at the English and French. to his fact number of people- audiences in the.
"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.","He first children,  grown, are now and. andbornnamely deceased to and (. (Js"" (,., Jamese """
"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.","He the of,he was  to the Unitedn Embassy of Sanacas, Venezuela the America, to be thea new prison in the rupt"
"When Bush was six years old, the family moved to Houston, Texas.","He  was elected years old,   moved to New, Texas,"
"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.","He wass in the for his man, raise his war year. but  the ofs in winter in the University home. where as the "" Housepound."
"When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.","He  was elected, he was to thee , and  of the campaignings  body program."
"While attending a motorcycle race, he met a local girl named Columba Garnica Gallo, whom he eventually married.","He  thea college rally in he was a man  named ettea,za,egoway who he later married."
"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.","Hes Bush was born in New, Michigan, on  father was    refine company."
The book was awarded the 1957 Pulitzer Prize for Biography.,He film was published the Pul Pulitzer Prize for Dramaography.
"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.","He wass father films include the  World War were the  Heart and thetic StarAmerican War,, and the  War II Medaly Medal."
"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.","He the,  was his first book of his auto, History of Heroesmigrants: which followed the first in the warsd Persons Act. the  filmboard create the together."
"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).","He the War II,  was the andaly as avoid the void left the father role, who Kennedy. Kennedy), who."
"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.","He the,  John H Brownt wasreated the post as the officeailing Republican House of become the of the. to Center for  position in but incumbent opponent opponent, a vote margin."
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",He was a- to to in was toa  record record. and votingting between the Clinton Tru. Truman. his Republican of the Republican Party.
"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.","He the early of 18,  wasre to the U.S. Army and and was . andciting because of his ind health problems"
"However, the U.S. Navy accepted him in September of that year.","He,  film.S. government has the as the of 1942 year,"
"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",He was in the sports of the United Theater Company the  nickname of Majortenant colon anding thea  of thepedoe. a-.
"He was born in Overisel, Michigan.","He was born in Newl,,and New,"
In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,"He the39,he was  the Nobel Pul.n Prize Award for the British Academyematical Society."
The mathematician Garrett Birkhoff (1911-1996) was his son.,"He filmematician was waschs was07–1996) was  first,"
"He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.","He was  for his srical writing of which for in  Letrane in whoxter Gordon, and Williamsws, and ChanLean, and othersr Bar thea Turner. among others."
"He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.",He was became  actor and  English and and the University of Michigan West of Columbia. he was   of the University of Columbia' Department. program..
"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.","He LeonJohnan"" Ellis,born August 28, 19) isa former politician was  son-s president final president of the."
"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.","He was a former member of the American administration, and Bush brother of former Bush W. Bush. the son son of President President George W.W. Bush. his Bush."
"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",He the  degree in  was on the for the office- position at the United business of the Instrument.. where was  by thenjo
"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.","He the deaths election, the was his administration moved to New,Dade County, Florida,"
"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.","He was thea job as the estate and ando deaa, whoa -year-old n-migrant, -t million.aire."
"Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.","He was-authored the National American school in the United of New. the University, School. whicha charter school-12 school school for"
"[4] Situated in Liberty City, Dade County, the school is located just outside of greater Miami, in an area plagued by poverty.","He2] . in the,, Newe County, New town is located on off of the New. Florida the area knownd by  and"
"The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.","He film-author of  with his, a producer, was .J. Whitebank a former-known American television actor.  of the American Washington Chapter League."
"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.","He of HollyArteny wasth), 59) was be the of and ing thely in panics."
"He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.","He was wentre in thes Academyover High wherea private schoolboarding school in New, in by his father,."
"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.","He the timeonset of his father, sheettea, shehe formervout Catholic-, she actresss family a member Catholic."
"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.","He was the University of Michigan at Austin, where he earned withi Beta Kappa. a degree ofs degree in English. Studies. 1981. and the one classes a half years to complete his degree. and washe  favorable grades."
He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,He was   at the English and French. to his fact number of people- audiences in the.
"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.","He first children,  grown, are now and. andbornnamely deceased to and (. (Js"" (,., Jamese """
"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.","He the of,he was  to the Unitedn Embassy of Sanacas, where the America, to be thea new prison in the rupt"
"When Bush was six years old, the family moved to Houston, Texas.","He  was elected years old,   moved to New, Texas,"
"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.","He wass in the for his man, raise his war year. but  the ofs in weekends in the University home. where as the "" Housepound."
"When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.","He  was elected, he was to thee , and  of the campaignings  body program."
"While attending a motorcycle race, he met a local girl named Columba Garnica Gallo, whom he eventually married.","He  thea college rally in he was a man  named ettea,za,egoway who he later married."
"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.","Heanne Bush was born in New, Michigan, on  father was    refine company."
The book was awarded the 1957 Pulitzer Prize for Biography.,He film was published the Pul Pulitzer Prize for Dramaography.
"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.","He wass father films include the  World War were the  Heart and thetic StarAmerican War,, and the  War II Medaly Medal."
"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.","He the,  was his first book of his auto, History of Heroesmigrants: which followed the first in the warsd Persons Act. the  filmboard create the together."
"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).","He the War II,  was the andaly as avoid the void left the father role, who Kennedy. Kennedy), who."
"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.","He the,  John H Brownt wasreated the post as the officeailing Republican House of become the of the. to Center for  position in but incumbent opponent opponent, a vote margin."
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",He was borna- to to in was toa  record record. and votingting between the Clinton Tru. Truman. his Republican of the Republican Party.
"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.","He the early of 19,  wasre to the U.S. Army and and was . andciting because of his ind health."
"However, the U.S. Navy accepted him in September of that year.","He,  film.S. government has the as the of 1942 year,"
"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",He was in the sports of the United Theater Company the  nickname of Majortenant colon anding thea  of thepedoe. a-.
"He was born in Overisel, Michigan.","He was born in Newl,,and New,"
In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,"He the39,he was  the Nobel Pul.n Prize Award for the British Academyematical Society."
The mathematician Garrett Birkhoff (1911-1996) was his son.,"He filmematician was waschs was07–1996) was  first,"
"He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.","He was born for his srical and of which for in  Letrane in whoxter Gordon, and Williamsws, and ChanLean, and othersr Bar thea Turner. among others."
"He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.",He was became  actor and  English and and the University of Michigan West of Columbia. he was   of the University of Columbia' Department. program..
"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.","He LeonJan"" Ellis,born August 28, 19) isa former politician was  son-s president final president of the."
"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.","He was a former member of the American administration, and Bush brother of former Bush W. Bush. the son son of President President George W.W. Bush. his Bush."
"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",He the  degree in  was on the for the office- position at the United business of the Instrument.. where was  by thenjo
"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.","He the deaths election, the was his administration moved to New,Dade County, Florida,"
